STATION,ELEVATION,LATITUDE,LONGITUDE,DATE,PRCP,SNOW,TAVG,TMAX,TMIN
GHCND:USW00023293,15.5,37.3591,-121.924,20160828,0.00,-9999,-9999,79,60
GHCND:USW00023293,15.5,37.3591,-121.924,20160829,0.00,-9999,-9999,76,60
GHCND:USW00023293,15.5,37.3591,-121.924,20160830,0.00,-9999,-9999,81,59
GHCND:USW00023293,15.5,37.3591,-121.924,20160831,0.00,-9999,-9999,78,60
GHCND:USW00023293,15.5,37.3591,-121.924,20160901,0.00,-9999,-9999,75,59
GHCND:USW00023293,15.5,37.3591,-121.924,20160902,0.00,-9999,-9999,81,57
GHCND:USW00023293,15.5,37.3591,-121.924,20160903,0.00,-9999,-9999,75,57
GHCND:USW00023293,15.5,37.3591,-121.924,20160904,0.00,-9999,-9999,76,55
GHCND:USW00023293,15.5,37.3591,-121.924,20160905,0.00,-9999,-9999,81,54
GHCND:USW00023293,15.5,37.3591,-121.924,20160906,0.00,-9999,-9999,87,54
GHCND:USW00023293,15.5,37.3591,-121.924,20160907,0.00,-9999,-9999,93,59
GHCND:USW00023293,15.5,37.3591,-121.924,20160908,0.00,-9999,-9999,80,59
GHCND:USW00023293,15.5,37.3591,-121.924,20160909,0.00,-9999,-9999,80,59
GHCND:USW00023293,15.5,37.3591,-121.924,20160910,0.00,-9999,-9999,77,59
GHCND:USW00023293,15.5,37.3591,-121.924,20160911,0.00,-9999,-9999,76,57
GHCND:USW00023293,15.5,37.3591,-121.924,20160912,0.00,-9999,-9999,76,57
GHCND:USW00023293,15.5,37.3591,-121.924,20160913,0.00,-9999,-9999,73,56
GHCND:USW00023293,15.5,37.3591,-121.924,20160914,0.00,-9999,-9999,78,54
GHCND:USW00023293,15.5,37.3591,-121.924,20160915,0.00,-9999,-9999,76,56
GHCND:USW00023293,15.5,37.3591,-121.924,20160916,0.00,-9999,-9999,80,57
GHCND:USW00023293,15.5,37.3591,-121.924,20160917,0.00,-9999,-9999,85,58
GHCND:USW00023293,15.5,37.3591,-121.924,20160918,0.00,-9999,-9999,93,58
GHCND:USW00023293,15.5,37.3591,-121.924,20160919,0.00,-9999,-9999,94,63
GHCND:USW00023293,15.5,37.3591,-121.924,20160920,0.00,-9999,-9999,81,61
GHCND:USW00023293,15.5,37.3591,-121.924,20160921,0.00,-9999,-9999,76,58
GHCND:USW00023293,15.5,37.3591,-121.924,20160922,0.00,-9999,-9999,73,57
GHCND:USW00023293,15.5,37.3591,-121.924,20160923,0.00,-9999,-9999,80,52
GHCND:USW00023293,15.5,37.3591,-121.924,20160924,0.00,-9999,-9999,87,57
GHCND:USW00023293,15.5,37.3591,-121.924,20160925,0.00,-9999,-9999,97,59
GHCND:USW00023293,15.5,37.3591,-121.924,20160926,0.00,-9999,-9999,98,62
GHCND:USW00023293,15.5,37.3591,-121.924,20160927,0.00,-9999,-9999,95,63
GHCND:USW00023293,15.5,37.3591,-121.924,20160928,0.00,-9999,-9999,80,58
GHCND:USW00023293,15.5,37.3591,-121.924,20160929,0.00,-9999,-9999,73,57
GHCND:USW00023293,15.5,37.3591,-121.924,20160930,0.00,-9999,-9999,70,56
GHCND:USW00023293,15.5,37.3591,-121.924,20161001,0.00,-9999,-9999,73,52
GHCND:USW00023293,15.5,37.3591,-121.924,20161002,0.00,-9999,-9999,72,51
GHCND:USW00023293,15.5,37.3591,-121.924,20161003,0.00,-9999,-9999,69,50
GHCND:USW00023293,15.5,37.3591,-121.924,20161004,0.00,-9999,-9999,72,56
GHCND:USW00023293,15.5,37.3591,-121.924,20161005,0.00,-9999,-9999,75,51
GHCND:USW00023293,15.5,37.3591,-121.924,20161006,0.00,-9999,-9999,78,50
GHCND:USW00023293,15.5,37.3591,-121.924,20161007,0.00,-9999,-9999,85,53
GHCND:USW00023293,15.5,37.3591,-121.924,20161008,0.00,-9999,-9999,89,54
GHCND:USW00023293,15.5,37.3591,-121.924,20161009,0.00,-9999,-9999,86,56
GHCND:USW00023293,15.5,37.3591,-121.924,20161010,0.00,-9999,-9999,73,56
GHCND:USW00023293,15.5,37.3591,-121.924,20161011,0.00,-9999,-9999,71,59
GHCND:USW00023293,15.5,37.3591,-121.924,20161012,0.00,-9999,-9999,72,55
GHCND:USW00023293,15.5,37.3591,-121.924,20161013,0.00,-9999,-9999,73,51
GHCND:USW00023293,15.5,37.3591,-121.924,20161014,0.00,-9999,-9999,72,60
GHCND:USW00023293,15.5,37.3591,-121.924,20161015,0.04,-9999,-9999,76,60
GHCND:USW00023293,15.5,37.3591,-121.924,20161016,0.40,-9999,-9999,68,61
GHCND:USW00023293,15.5,37.3591,-121.924,20161017,0.00,-9999,-9999,71,54
GHCND:USW00023293,15.5,37.3591,-121.924,20161018,0.00,-9999,-9999,71,52
GHCND:USW00023293,15.5,37.3591,-121.924,20161019,0.00,-9999,-9999,78,51
GHCND:USW00023293,15.5,37.3591,-121.924,20161020,0.00,-9999,-9999,82,52
GHCND:USW00023293,15.5,37.3591,-121.924,20161021,0.00,-9999,-9999,79,53
GHCND:USW00023293,15.5,37.3591,-121.924,20161022,0.00,-9999,-9999,74,53
GHCND:USW00023293,15.5,37.3591,-121.924,20161023,0.00,-9999,-9999,75,51
GHCND:USW00023293,15.5,37.3591,-121.924,20161024,0.00,-9999,-9999,69,59
GHCND:USW00023293,15.5,37.3591,-121.924,20161025,0.00,-9999,-9999,75,62
GHCND:USW00023293,15.5,37.3591,-121.924,20161026,0.00,-9999,-9999,80,54
GHCND:USW00023293,15.5,37.3591,-121.924,20161027,0.30,-9999,-9999,70,60
GHCND:USW00023293,15.5,37.3591,-121.924,20161028,0.64,-9999,-9999,72,62
GHCND:USW00023293,15.5,37.3591,-121.924,20161029,0.01,-9999,-9999,73,59
